KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K21993	K06212	fdhC	formate transporter	""	""	87	-1.531	0.364	0.799	0.449	-1.067	0.515	0.98	0.515	0.722	0.449	-1.674	-1.736	0.653	1.622	-1.794
K06213	K06213	mgtE	magnesium transporter	""	""	27	-0.582	-0.149	1.779	1.447	-0.149	1.454	-0.761	1.454	-0.505	1.042	-0.708	-0.761	-1.125	-0.311	-0.81
K06215	K06215	pdxS, pdx1	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	map00750 Vitamin B6 metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	69	1.071	0.629	1.071	-1.315	0.629	0.782	-1.435	-0.951	-1.163	1.14	1.201	1.257	0.954	-0.59	-1.488
K06217	K06217	phoH, phoL	phosphate starvation-inducible protein PhoH and related proteins	""	""	113	0.213	-0.218	0.213	0.279	-0.218	-1.879	-2.681	-0.068	0.136	0.279	0.338	0.39	0.746	0.617	0.438
K06218	K06218	relE, stbE	mRNA interferase RelE/StbE	""	""	46	1.412	0.244	-0.909	-0.562	-0.472	1.112	-0.065	0.555	-0.374	-0.562	-1.038	-0.065	0.231	-0.165	0.663
K06219	K06219	smtA, cmoM	tRNA 5-carboxymethoxyuridine methyltransferase [EC:2.1.1.-]	""	""	4	0.299	1.606	0.299	0.233	0.729	0.579	0.123	0.579	0.375	0.233	1.846	0.123	-0.229	-0.472	0.076
K06221	K06221	dkgA	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	""	""	39	1.531	0.355	1.102	0.505	1.067	0.049	-0.98	-0.515	0.18	1.606	-0.522	1.736	-0.996	-1.622	-1.03
K06223	K06223	dam	DNA adenine methylase [EC:2.1.1.72]	""	map03430 Mismatch repair	39	-0.365	0.355	0.05	0.796	-0.364	1.225	-0.585	-0.515	1.446	-0.449	0.375	-0.585	-0.261	-0.216	0.188
K06236	K06236	COL1A	collagen type I alpha	""	map04151 PI3K-Akt signaling pathway,map04510 Focal adhesion,map04512 ECM-receptor interaction,map04611 Platelet activation,map04926 Relaxin signaling pathway,map04933 AGE-RAGE signaling pathway in diabetic complications,map04974 Protein digestion and absorption,map05146 Amoebiasis,map05165 Human papillomavirus infection,map05205 Proteoglycans in cancer,map05415 Diabetic cardiomyopathy	17	-0.342	0.089	-0.342	-0.408	0.089	-0.061	-0.52	-0.061	-0.265	-0.408	-0.467	1.573	-0.877	0.803	-0.567
K06286	K06286	ezrA	septation ring formation regulator	""	""	66	-1.2	-0.755	1.114	-1.271	-0.755	-0.908	0.911	0.824	-1.12	-1.271	-1.333	-1.39	1.696	2.005	-1.442
K07158	K06286	K07158	uncharacterized protein	""	""	66	-1.2	-0.755	1.114	-1.271	-0.755	-0.908	0.911	0.824	-1.12	-1.271	-1.333	-1.39	1.696	2.005	-1.442
K06287	K06287	yhdE	nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]	""	map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism	56	1.259	0.811	-0.626	1.33	0.811	0.407	-1.242	-0.768	-0.977	1.33	1.393	1.45	-1.631	-1.255	1.503
K06320	K06320	cgeB	spore maturation protein CgeB	""	""	19	-0.398	0.034	-0.398	0.684	0.034	-0.116	-0.575	-0.116	-0.321	1.69	-0.523	2.289	-0.934	-1.186	-0.218
K06330	K06330	cotH	spore coat protein H	""	""	7	0.066	0.496	0.066	0	0.496	0.346	-0.11	0.346	0.142	0	-0.058	-0.11	-0.464	1.79	-0.158
K06335	K06335	cotM	spore coat protein M	""	""	4	0.299	0.729	2.637	0.233	0.729	0.579	0.123	0.579	0.375	0.233	0.175	0.123	-0.229	-0.472	0.076
K06346	K06346	jag	spoIIIJ-associated protein	""	""	101	0.54	0.108	-1.398	-1.915	0.108	0.258	0.719	0.258	-1.736	0.607	-1.994	0.719	1.081	1.338	0.767
K06960	K06346	K06960	uncharacterized protein	""	""	101	0.54	0.108	-1.398	-1.915	0.108	0.258	0.719	0.258	-1.736	0.607	-1.994	0.719	1.081	1.338	0.767
K06350	K06350	kipA	antagonist of KipI	""	""	18	-0.37	0.061	2.052	-0.437	0.061	1.126	-0.548	-0.089	-0.294	-0.437	-0.495	-0.548	-0.906	-1.158	2.428
K06373	K06373	spmA	spore maturation protein A	""	""	10	-0.092	0.339	0.392	0.309	0.339	0.189	-0.269	0.189	-0.015	-0.158	2.899	-0.269	-0.623	-0.87	-0.316
K06374	K06373	spmB	spore maturation protein B	""	""	10	-0.092	0.339	0.392	0.309	0.339	0.189	-0.269	0.189	-0.015	-0.158	2.899	-0.269	-0.623	-0.87	-0.316
K06377	K06377	spo0M	sporulation-control protein	""	""	23	1.886	1.381	-0.496	-0.563	-0.064	-0.214	-0.674	-0.214	-0.419	1.974	-0.622	1.736	-1.035	-1.29	-0.722
K06381	K06381	spoIID	stage II sporulation protein D	""	""	14	-0.248	0.183	0.216	-0.314	0.183	1.836	-0.425	0.033	-0.171	-0.314	-0.373	-0.425	-0.782	-1.03	2.72
K11708	K06381	troC, mntC, znuB	manganese/zinc/iron transport system permease protein	""	map02010 ABC transporters	14	-0.248	0.183	0.216	-0.314	0.183	1.836	-0.425	0.033	-0.171	-0.314	-0.373	-0.425	-0.782	-1.03	2.72
K11709	K06381	troD, mntD, znuB	manganese/zinc/iron transport system permease protein	""	map02010 ABC transporters	14	-0.248	0.183	0.216	-0.314	0.183	1.836	-0.425	0.033	-0.171	-0.314	-0.373	-0.425	-0.782	-1.03	2.72
K06384	K06384	spoIIM	stage II sporulation protein M	""	""	15	2.183	1.616	0.18	-0.347	0.15	0	-0.458	0	-0.204	0.097	1.255	-0.458	-0.815	-1.065	-0.506
K06385	K06385	spoIIP	stage II sporulation protein P	""	""	4	0.299	0.729	0.892	0.233	0.729	1.301	0.123	0.579	0.375	0.233	0.175	0.123	-0.229	0.526	0.076
K06398	K06398	spoIVA	stage IV sporulation protein A	""	""	8	0.008	0.438	0.509	2.545	0.438	0.288	-0.169	0.288	0.084	0.426	-0.117	-0.169	-0.523	-0.768	-0.216
K06400	K06400	spoIVCA	site-specific DNA recombinase	""	""	60	-1.114	-0.671	-0.272	-1.183	0.755	-0.266	-0.537	0.908	-1.034	-1.183	-0.845	-1.301	1.796	2.124	-1.352
K06402	K06402	spoIVFB	stage IV sporulation protein FB [EC:3.4.24.-]	""	""	10	-0.092	1.836	0.392	2.698	0.339	0.189	-0.269	0.189	-0.015	-0.158	-0.216	-0.269	-0.623	-0.87	-0.316
K06409	K06409	spoVB	stage V sporulation protein B	""	""	77	-1.365	-0.912	0.954	-1.437	-0.912	-1.067	1.138	0.668	-1.282	-1.437	-1.502	-1.561	1.519	1.803	1.188
K06967	K06409	trmK	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	""	""	77	-1.365	-0.912	0.954	-1.437	-0.912	-1.067	1.138	0.668	-1.282	-1.437	-1.502	-1.561	1.519	1.803	1.188
K07570	K06409	GSP13	general stress protein 13	""	""	77	-1.365	-0.912	0.954	-1.437	-0.912	-1.067	1.138	0.668	-1.282	-1.437	-1.502	-1.561	1.519	1.803	1.188
K07571	K06409	K07571	S1 RNA binding domain protein	""	""	77	-1.365	-0.912	0.954	-1.437	-0.912	-1.067	1.138	0.668	-1.282	-1.437	-1.502	-1.561	1.519	1.803	1.188
K09685	K06409	purR	purine operon repressor	""	""	77	-1.365	-0.912	0.954	-1.437	-0.912	-1.067	1.138	0.668	-1.282	-1.437	-1.502	-1.561	1.519	1.803	1.188
K06410	K06410	spoVFA	dipicolinate synthase subunit A	""	""	5	0.208	0.638	2.946	0.142	0.638	0.488	0.032	0.488	0.285	0.142	0.084	0.032	-0.321	-0.564	-0.015
K06412	K06412	spoVG	stage V sporulation protein G	""	""	8	0.008	0.438	2.29	-0.058	0.438	2.178	-0.169	0.288	0.084	-0.058	-0.117	-0.169	-0.523	-0.768	-0.216
K06413	K06413	spoVK	stage V sporulation protein K	""	""	27	-0.582	-0.149	-0.141	-0.649	-0.149	-0.3	0.961	0.894	-0.505	-0.649	-0.708	-0.761	-0.414	0.946	-0.81
K06417	K06417	spoVID	stage VI sporulation protein D	""	""	6	0.132	0.562	0.663	0.066	0.562	0.412	0.907	0.412	1.771	0.066	0.008	-0.044	-0.398	-0.642	-0.092
K06438	K06438	yqfD	similar to stage IV sporulation protein	""	""	32	1.666	1.19	-0.241	-0.746	1.19	1.351	-0.859	-0.396	-0.601	1.745	-0.805	1.883	-0.52	-1.488	-0.907
K06442	K06442	tlyA	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	""	""	108	0.37	-0.061	-1.614	0.437	-0.061	0.089	0.548	0.089	-1.946	0.437	-2.245	0.548	0.906	1.158	0.596
K06518	K06518	cidA	holin-like protein	""	""	77	-1.365	-0.912	0.954	1.023	-0.912	0.107	-1.561	0.668	0.876	0.608	0.298	-1.561	1.519	0.407	-1.615
K06596	K06596	chpA	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)	""	map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa	78	-1.38	-0.926	0.939	1.008	-0.926	0.653	1.123	0.653	-1.298	-1.041	-1.518	-1.577	1.502	1.785	-1.632
K06605	K06605	iolH	myo-inositol catabolism protein IolH	""	""	3	0.412	1.785	0.412	0.346	2.615	0.692	0.236	0.692	0.488	0.346	0.288	0.236	-0.116	-0.359	0.189
K11611	K06605	inhA	meromycolic acid enoyl-[acyl-carrier-protein] reductase [EC:1.3.1.118]	""	""	3	0.412	1.785	0.412	0.346	2.615	0.692	0.236	0.692	0.488	0.346	0.288	0.236	-0.116	-0.359	0.189
K06609	K06609	iolT	MFS transporter, SP family, major inositol transporter	""	""	8	2.79	1.223	0.509	-0.058	0.438	0.288	-0.169	0.288	0.084	-0.058	-0.117	-0.169	-0.523	-0.768	-0.216
K06718	K06718	ectA	L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]	Ectoine biosynthesis, aspartate => ectoine	map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	26	0.95	-0.129	1.804	-0.629	-0.129	0.916	-0.741	-0.279	-0.485	-0.203	0.886	-0.741	-1.103	0.197	-0.789
K06726	K06726	rbsD	D-ribose pyranase [EC:5.4.99.62]	""	map02010 ABC transporters	22	-0.473	-0.04	1.481	-0.539	1.406	-0.191	-0.651	-0.191	-0.396	-0.109	-0.598	-0.651	0.12	-1.265	2.244
K06857	K06857	tupC, vupC	tungstate transport system ATP-binding protein [EC:7.3.2.6]	""	map02010 ABC transporters	73	-1.304	0.573	1.013	-0.963	0.573	-1.008	1.198	0.725	-1.222	-1.375	-1.439	-1.497	1.583	1.875	-1.168
K06864	K06864	larE	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]	""	""	27	-0.582	-0.149	0.926	-0.649	-0.149	-0.3	-0.761	1.454	-0.505	1.447	-0.708	-0.761	-1.125	0.063	1.049
K06867	K06867	K06867	uncharacterized protein	""	""	31	1.257	-0.226	-0.66	-0.306	-0.226	0.19	-0.84	-0.377	-0.583	1.767	-0.378	-0.062	-1.206	0.609	-0.889
K06871	K06871	K06871	uncharacterized protein	""	""	55	1.274	-0.601	-0.612	0.933	0.825	-0.195	-1.227	-0.754	1.192	-1.111	1.408	-0.462	-0.703	-0.165	1.519
K06872	K06872	K06872	uncharacterized protein	""	""	20	-0.424	0.008	0.027	-0.057	0.008	-0.142	-0.602	-0.142	1.878	-0.49	0.552	-0.602	1.033	-1.213	-0.649
K06877	K06877	K06877	DEAD/DEAH box helicase domain-containing protein	""	""	33	1.645	1.171	-0.26	-0.344	1.171	1.332	-0.479	-0.413	-0.158	1.311	-0.416	1.86	-1.244	-1.508	-0.926
K06878	K06878	K06878	tRNA-binding protein	""	""	95	-1.687	-1.209	0.66	-0.951	-1.209	0.377	0.84	0.377	0.583	-1.767	0.787	-1.907	1.206	1.467	0.889
K19002	K06878	mgs, bgsB	1,2-diacylglycerol 3-alpha-glucosyltransferase [EC:2.4.1.337]	""	map00552 Teichoic acid biosynthesis,map00561 Glycerolipid metabolism,map01100 Metabolic pathways	95	-1.687	-1.209	0.66	-0.951	-1.209	0.377	0.84	0.377	0.583	-1.767	0.787	-1.907	1.206	1.467	0.889
K06879	K06879	queF	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	""	map00790 Folate biosynthesis,map01100 Metabolic pathways	62	-1.143	-0.699	1.171	1.241	-0.699	-0.852	-1.33	-0.852	1.091	-1.212	1.304	-1.33	1.069	-0.459	1.412
K09457	K06879	queF	7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	""	map00790 Folate biosynthesis,map01100 Metabolic pathways	62	-1.143	-0.699	1.171	1.241	-0.699	-0.852	-1.33	-0.852	1.091	-1.212	1.304	-1.33	1.069	-0.459	1.412
K06881	K06881	nrnA	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	""	map00920 Sulfur metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	88	-1.549	-1.084	0.783	-1.625	-1.084	0.499	0.964	0.499	-1.463	-1.625	0.91	-1.756	1.335	1.604	1.013
K12585	K06881	DIS3, RRP44	exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]	""	map03018 RNA degradation	88	-1.549	-1.084	0.783	-1.625	-1.084	0.499	0.964	0.499	-1.463	-1.625	0.91	-1.756	1.335	1.604	1.013
K06883	K06883	K06883	uncharacterized protein	""	""	118	-0.008	-0.438	-0.008	-3.074	-0.438	-0.288	0.169	-0.288	-0.084	-0.426	0.117	0.169	0.523	0.768	0.216
K06885	K06885	K06885	uncharacterized protein	""	""	64	-1.171	-0.727	1.143	-1.241	-0.727	-0.88	1.33	0.852	-1.091	-1.241	0.492	-1.36	1.729	0.459	-1.412
K06886	K06886	glbN	hemoglobin	""	""	38	-0.348	-0.347	1.549	1.213	-0.347	-0.499	1.756	-0.499	-0.705	1.625	-0.91	1.756	-1.335	-1.604	-1.013
K06887	K06887	K06887	uncharacterized protein	""	""	4	0.299	0.729	0.299	1.947	0.729	0.579	0.123	0.579	0.375	0.233	0.175	0.123	0.285	-0.472	0.076
K06889	K06889	K06889	uncharacterized protein	""	""	96	0.642	0.208	0.642	-1.376	0.208	-0.832	0.821	0.359	-1.165	0.709	0.768	-1.155	0.826	1.447	-1.995
K06890	K06890	K06890	uncharacterized protein	""	""	90	-1.586	-1.118	0.749	0.817	-1.118	-0.099	-1.796	0.465	0.672	-1.663	0.876	-1.796	1.299	1.566	0.979
K06891	K06891	clpS	ATP-dependent Clp protease adaptor protein ClpS	""	""	32	1.666	1.19	-0.679	1.745	0.477	-0.396	-0.859	-0.396	-0.601	1.745	-0.805	1.883	-1.225	-1.488	-0.907
K06893	K06893	K06893	uncharacterized protein	""	""	12	-0.175	0.255	-0.175	0.214	0.255	0.105	-0.352	0.105	-0.099	0.214	-0.3	-0.352	1.076	0.031	-0.4
K06894	K06894	yfhM	alpha-2-macroglobulin	""	""	10	-0.092	0.339	-0.092	2.698	0.339	2.036	-0.269	0.189	-0.015	-0.158	-0.216	-0.269	-0.623	-0.87	-0.316
K06895	K06895	lysE, argO	L-lysine exporter family protein LysE/ArgO	""	""	36	-0.749	-0.314	1.586	-0.398	-0.314	0.719	-0.93	-0.465	0.602	1.663	-0.876	1.026	-1.299	-1.566	1.856
K06896	K06896	mapP	maltose 6'-phosphate phosphatase [EC:3.1.3.90]	""	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways	74	-1.319	-0.868	-0.89	-1.39	-0.868	-0.465	1.183	-1.023	0.92	-1.39	-1.454	1.183	1.567	1.857	-1.566
K06897	K06897	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]	""	map00790 Folate biosynthesis,map01240 Biosynthesis of cofactors	14	-0.248	0.183	-0.248	-0.314	0.183	0.033	-0.425	0.033	-0.171	2.352	-0.373	1.74	-0.782	-1.03	-0.473
K06898	K06898	larB	pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]	""	""	22	-0.473	-0.04	1.481	-0.539	-0.04	-0.191	-0.651	1.574	-0.396	-0.539	-0.598	-0.651	-1.011	0.216	1.196
K06899	K06899	ndpA	nucleoid-associated protein	""	""	67	-1.215	-0.769	-1.215	-1.285	-0.769	-0.922	-1.405	0.81	1.02	-1.285	-1.348	-1.405	1.68	1.986	1.337
K06900	K06900	capV	cGAMP-activated phospholipase [EC:3.1.1.32 3.1.1.-]	""	map00564 Glycerophospholipid metabolism,map00592 alpha-Linolenic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	1	0.787	1.217	0.787	1.742	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06902	K06902	UMF1	MFS transporter, UMF1 family	""	map04138 Autophagy - yeast	30	1.709	1.229	-0.202	-0.709	1.229	-0.359	-0.821	1.39	-0.564	1.79	-0.768	1.931	-1.186	-1.447	-0.87
K06903	K06903	K06903	uncharacterized protein	""	""	10	-0.092	0.339	-0.092	1.079	0.339	0.189	-0.269	0.189	0.974	-0.158	0.978	-0.269	-0.623	-0.87	0.528
K06904	K06904	K06904	uncharacterized protein	""	""	5	0.208	0.638	0.208	0.142	0.638	0.488	0.548	0.488	0.864	0.142	0.084	0.032	-0.321	-0.101	0.974
K06905	K06905	K06905	uncharacterized protein	""	""	10	-0.092	0.339	-0.092	1.079	0.339	1.459	-0.269	0.189	0.974	-0.158	0.238	-0.269	-0.623	-0.87	0.528
K06906	K06906	K06906	uncharacterized protein	""	""	7	0.066	0.496	0.066	1.334	0.496	0.346	-0.11	0.346	1.189	0	-0.058	-0.11	-0.464	-0.709	0.744
K06907	K06906	K06907	uncharacterized protein	""	""	7	0.066	0.496	0.066	1.334	0.496	0.346	-0.11	0.346	1.189	0	-0.058	-0.11	-0.464	-0.709	0.744
K06908	K06906	K06908	uncharacterized protein	""	""	7	0.066	0.496	0.066	1.334	0.496	0.346	-0.11	0.346	1.189	0	-0.058	-0.11	-0.464	-0.709	0.744
K06909	K06909	xtmB	phage terminase large subunit	""	""	12	-0.175	0.255	-0.175	-0.242	0.255	1.354	0.081	0.707	0.398	-0.242	0.143	-0.352	-0.314	0.405	-0.4
K06910	K06910	PEBP, TFS1	phosphatidylethanolamine-binding protein	""	""	34	1.625	1.153	0.458	1.703	1.153	-0.431	-0.12	-0.431	0.639	-0.782	-0.841	1.838	-1.263	-1.527	-0.944
K06911	K06911	PIR	quercetin 2,3-dioxygenase [EC:1.13.11.24]	""	""	12	-0.175	0.255	-0.175	0.214	0.255	0.105	-0.352	0.105	0.398	0.214	-0.3	-0.352	-0.708	-0.955	2.53
K06915	K06915	herA	DNA double-strand break repair helicase HerA and related ATPase	""	""	91	0.732	0.297	-1.606	0.799	-1.135	-0.117	-1.817	0.448	0.655	0.799	0.859	-1.817	1.281	1.547	-1.12
K06919	K06919	K06919	putative DNA primase/helicase	""	""	53	0.146	-0.573	0.462	0.568	0.141	1.008	-0.174	-0.725	0.328	0.28	0.656	-1.198	-0.112	-0.128	-0.247
K06920	K06920	queC	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	""	map00790 Folate biosynthesis,map01100 Metabolic pathways	64	-1.171	-0.727	1.143	1.212	-0.727	-0.88	-1.36	-0.88	1.063	-0.829	1.274	-1.36	1.378	-0.496	1.382
K06921	K06921	K06921	uncharacterized protein	""	""	18	-0.37	0.061	-0.37	0	0.061	1.126	-0.548	-0.089	-0.294	-0.437	1.129	-0.548	-0.906	-1.158	2.428
K06922	K06922	K06922	uncharacterized protein	""	""	1	0.787	1.217	0.787	0.722	1.217	1.067	0.611	1.067	0.864	1.742	0.663	0.611	0.26	0.019	0.564
K06926	K06926	K06926	uncharacterized protein	""	""	40	0.669	1.051	-0.816	0.778	-0.38	1.208	-0.997	-0.531	-0.738	-0.883	1.656	-0.602	-0.134	-0.458	0.769
K06929	K06929	K06929	uncharacterized protein	""	""	77	-1.365	-0.912	-0.936	-1.025	-0.912	-1.067	-1.561	-1.067	-1.282	1.023	-1.502	1.138	1.519	1.803	1.188
K06940	K06940	K06940	uncharacterized protein	""	""	47	-0.924	-0.486	-0.924	-0.578	-0.486	-0.638	-1.107	-0.638	-0.846	-0.992	-1.053	-1.107	1.116	2.443	-1.157
K06945	K06945	K06945	uncharacterized protein	""	""	7	0.066	0.496	0.066	2.85	0.496	0.346	-0.11	0.346	0.142	0.497	-0.058	-0.11	-0.464	-0.709	-0.158
K07131	K06945	K07131	uncharacterized protein	""	""	7	0.066	0.496	0.066	2.85	0.496	0.346	-0.11	0.346	0.142	0.497	-0.058	-0.11	-0.464	-0.709	-0.158
K06946	K06946	K06946	uncharacterized protein	""	""	7	0.066	0.496	0.066	0.497	0.496	0.989	-0.11	0.346	0.142	0	0.426	-0.11	-0.464	0.678	-0.158
K06948	K06948	yqeH	30S ribosome assembly GTPase	""	""	70	-1.259	-0.811	1.056	-1.33	-0.811	0.768	1.242	0.768	-1.178	-1.33	-1.393	-1.45	1.631	1.93	-1.503
K08602	K06948	pepF, pepB	oligoendopeptidase F [EC:3.4.24.-]	""	""	70	-1.259	-0.811	1.056	-1.33	-0.811	0.768	1.242	0.768	-1.178	-1.33	-1.393	-1.45	1.631	1.93	-1.503
K11144	K06948	dnaI	primosomal protein DnaI	""	""	70	-1.259	-0.811	1.056	-1.33	-0.811	0.768	1.242	0.768	-1.178	-1.33	-1.393	-1.45	1.631	1.93	-1.503
K06950	K06950	K06950	uncharacterized protein	""	""	89	-1.567	-1.101	0.766	-1.231	-1.101	0.482	0.947	0.482	-1.481	-1.644	0.893	-1.776	1.317	1.585	0.996
K16899	K06950	addB	ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]	""	""	89	-1.567	-1.101	0.766	-1.231	-1.101	0.482	0.947	0.482	-1.481	-1.644	0.893	-1.776	1.317	1.585	0.996
K06951	K06951	K06951	uncharacterized protein	""	""	1	1.818	1.217	0.787	0.722	1.217	1.067	0.611	1.067	0.864	0.722	0.663	0.611	0.26	0.019	0.564
K06956	K06956	K06956	uncharacterized protein	""	""	35	-0.732	-0.297	1.606	-0.799	-0.297	-0.448	0.559	-0.448	-0.655	1.683	-0.859	1.046	-1.281	-1.547	1.877
K06959	K06959	tex	protein Tex	""	""	108	-2.052	-1.517	0.37	0.437	-1.517	0.089	0.548	0.089	0.294	-2.151	0.071	0.548	0.906	1.158	0.596
K06962	K06962	K06962	uncharacterized protein	""	""	56	-1.056	-0.615	1.259	-1.125	-0.615	-0.768	1.45	0.965	-0.977	-1.125	-1.187	-1.242	-0.938	1.155	1.503
K06966	K06966	ppnN	pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]	""	map00230 Purine metabolism,map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism	78	0.939	0.501	0.939	1.008	0.501	0.092	-0.553	0.653	0.405	1.008	1.068	1.123	-2.016	-0.775	1.172
K06969	K06969	rlmI	23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]	""	""	80	-1.412	-0.956	0.909	0.977	-0.956	0.062	-1.611	0.623	0.831	-1.485	1.038	-1.611	1.47	1.749	-1.666
K06972	K06972	PITRM1, PreP, CYM1	presequence protease [EC:3.4.24.-]	""	""	22	-0.473	-0.04	-0.473	-0.539	-0.04	-0.191	2.168	1.574	-0.396	-0.539	-0.598	-0.651	-1.011	-1.265	2.244
K06973	K06973	K06973	uncharacterized protein	""	""	15	-0.281	0.15	2.183	-0.347	0.15	0	2.513	0	-0.204	-0.347	-0.406	-0.458	-0.815	-1.065	-0.506
K06975	K06975	K06975	uncharacterized protein	""	""	42	-0.847	-0.411	1.05	1.141	1.018	1.175	1.681	1.175	1.394	1.553	-0.187	-1.029	-1.403	-1.677	-1.078
K06976	K06976	K06976	uncharacterized protein	""	""	20	-0.424	1.459	0.027	-0.49	1.459	-0.142	-0.602	-0.142	-0.347	1.653	-0.549	2.245	-0.961	-1.213	-0.649
K06977	K06977	K06977	uncharacterized protein	""	""	17	-0.342	0.089	2.093	-0.408	0.089	-0.061	-0.52	1.723	-0.265	-0.408	2.292	-0.52	-0.877	-1.128	-0.567
K06978	K06978	K06978	uncharacterized protein	""	""	5	0.208	0.638	2.377	0.68	0.638	0.488	0.032	0.488	0.285	0.142	0.084	0.032	-0.321	-0.564	-0.015
K06985	K06985	K06985	aspartyl protease family protein	""	map04112 Cell cycle - Caulobacter	2	0.562	0.991	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.96	0.386	0.034	-0.208	0.339
K06987	K06987	K06987	uncharacterized protein	""	""	22	-0.473	-0.04	-0.473	-0.539	-0.04	-0.191	-0.651	-0.191	-0.396	1.587	-0.598	-0.651	-1.011	0.097	2.244
K06988	K06988	fno	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	""	""	13	-0.213	1.693	-0.213	0.172	0.218	0.068	-0.39	0.068	-0.136	2.418	-0.338	-0.39	-0.746	-0.02	-0.438
K06990	K06990	MEMO1	MEMO1 family protein	""	""	9	-0.044	0.386	1.663	-0.11	0.386	0.236	-0.221	0.236	0.032	-0.11	-0.169	-0.221	-0.575	-0.821	1.447
K06993	K06993	K06993	ribonuclease H-related protein	""	""	32	-0.679	-0.245	-0.241	-0.746	-0.245	1.351	1.883	-0.396	-0.601	-0.746	1.817	-0.859	-1.225	-1.141	1.945
K06994	K06994	K06994	putative drug exporter of the RND superfamily	""	""	52	1.319	0.868	1.319	-1.067	0.868	-0.711	-1.183	1.023	1.237	1.39	-1.128	1.512	-0.873	-1.857	1.566
K06996	K06996	K06996	uncharacterized protein	""	""	19	-0.398	1.487	-0.398	1.69	0.034	-0.116	-0.575	-0.116	-0.321	0.684	1.093	-0.575	-0.934	-0.255	-0.623
K06999	K06999	K06999	phospholipase/carboxylesterase	""	""	19	-0.398	0.034	0.481	-0.029	0.034	-0.116	-0.575	-0.116	-0.321	2.111	-0.523	2.289	-0.934	-1.186	-0.623
K07000	K07000	K07000	uncharacterized protein	""	""	12	-0.175	0.255	-0.175	0.214	0.255	0.105	-0.352	0.105	1.271	-0.242	2.636	-0.352	-0.708	-0.955	-0.4
K07001	K07001	K07001	NTE family protein	""	""	27	-0.582	-0.149	0.602	1.862	1.29	0.894	-0.761	-0.3	0.408	1.042	1.142	-0.761	-1.125	-1.383	-0.81
K07002	K07002	RBBP9	serine hydrolase [EC:3.-.-.-]	""	""	17	-0.342	0.829	2.093	2.194	0.089	-0.061	-0.52	-0.061	1.059	-0.408	-0.467	-0.52	-0.877	-1.128	-0.567
K07003	K07003	K07003	uncharacterized protein	""	""	13	-0.213	0.218	0.255	0.172	0.218	0.068	-0.39	0.068	2.167	-0.279	1.677	-0.39	-0.746	-0.994	-0.438
K07004	K07004	K07004	uncharacterized protein	""	""	72	1.028	-0.839	-0.86	-1.36	0.587	-0.994	0.821	-0.994	-1.207	1.096	0.374	-1.481	0.905	0.403	-0.535
