KO	symbol	name	module	pathways
K19268	glmE, mutE, mamB	methylaspartate mutase epsilon subunit [EC:5.4.99.1]	Methylaspartate cycle	map00630 Glyoxylate and dicarboxylate metabolism,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K19270	hxpA	mannitol-1-/sugar-/sorbitol-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50]		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K19272	aph3-I	aminoglycoside 3'-phosphotransferase I [EC:2.7.1.95]		 
K19273	sat4	streptothricin acetyltransferase [EC:2.3.-.-]		 
K19279	ant9	aminoglycoside 9-adenylyltransferase [EC:2.7.7.-]		 
K19285	nfrA1	FMN reductase (NADPH) [EC:1.5.1.38]		map00740 Riboflavin metabolism,map01100 Metabolic pathways
K19286	nfrA2	FMN reductase [NAD(P)H] [EC:1.5.1.39]		map00740 Riboflavin metabolism,map01100 Metabolic pathways
K19294	algI	alginate O-acetyltransferase complex protein AlgI		 
K19295	algJ	alginate O-acetyltransferase complex protein AlgJ		 
K19299	aph3-III	aminoglycoside 3'-phosphotransferase III [EC:2.7.1.95]		 
K19300	aph3-II	aminoglycoside 3'-phosphotransferase II [EC:2.7.1.95]		 
K19302	bcrC	undecaprenyl-diphosphatase [EC:3.6.1.27]		map00550 Peptidoglycan biosynthesis,map00552 Teichoic acid biosynthesis
K19303	mepH	murein DD-endopeptidase [EC:3.4.-.-]		 
K19304	mepM	murein DD-endopeptidase [EC:3.4.24.-]		 
K19309	bcrA	bacitracin transport system ATP-binding protein		map02010 ABC transporters
K19310	bcrB	bacitracin transport system permease protein		map02010 ABC transporters
K19318	blaOXA-213	beta-lactamase class D OXA-213 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance
K19321	blaOXA-214	beta-lactamase class D OXA-214 [EC:3.5.2.6]	Carbapenem resistance	map01501 beta-Lactam resistance
K19333	kdgR	IclR family transcriptional regulator, KDG regulon repressor		 
K19334	tabA	biofilm protein TabA		 
K19335	bdcR	TetR/AcrR family transcriptional regulator, repressor for divergent bdcA		 
K19337	hexR	RpiR family transcriptional regulator, carbohydrate utilization regulator		 
K19338	nac	LysR family transcriptional regulator, nitrogen assimilation regulatory protein		 
K19339	nosR	NosR/NirI family transcriptional regulator, nitrous oxide reductase regulator		 
K19340	nosF	Cu-processing system ATP-binding protein		map02010 ABC transporters
K19341	nosY	Cu-processing system permease protein		map02010 ABC transporters
K19342	nosL	copper chaperone NosL		 
K19350	lsa	lincosamide and streptogramin A transport system ATP-binding/permease protein		map02010 ABC transporters
K19351	mpl	zinc metalloproteinase [EC:3.4.24.-]		 
K19353	eptC	heptose-I-phosphate ethanolaminephosphotransferase [EC:2.7.8.-]		map00540 Lipopolysaccharide biosynthesis
K19354	waaH	heptose III glucuronosyltransferase [EC:2.4.1.-]		map00540 Lipopolysaccharide biosynthesis
K19355	MAN	mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K19405	mcsB	protein arginine kinase [EC:2.7.14.1]		 
K19411	mcsA	protein arginine kinase activator		 
K19416	yccA	modulator of FtsH protease		 
K19417	slrR	HTH-type transcriptional regulator, biofilm formation regulator		 
K19419	epsG	transmembrane protein EpsG		 
K19421	epsC	polysaccharide biosynthesis protein EpsC		 
K19424	epsF	glycosyltransferase EpsF [EC:2.4.-.-]		 
K19426	epsI	pyruvyl transferase EpsI [EC:2.-.-.-]		 
K19428	epsL	sugar transferase EpsL [EC:2.-.-.-]		 
K19430	epsN	pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-]		 
K19431	epsO	pyruvyl transferase EpsO [EC:2.-.-.-]		 
K19449	sinR	XRE family transcriptional regulator, master regulator for biofilm formation		 
K19465	MGME1, DDK1	mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]		 
K19504	gfrE	glucoselysine-6-phosphate deglycase		 
K19505	gfrR	sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator		 
K19506	gfrA	fructoselysine/glucoselysine PTS system EIIA component [EC:2.7.1.-]		map02060 Phosphotransferase system (PTS)
K19507	gfrB	fructoselysine/glucoselysine PTS system EIIB component [EC:2.7.1.-]		map02060 Phosphotransferase system (PTS)
K19508	gfrC	fructoselysine/glucoselysine PTS system EIIC component		map02060 Phosphotransferase system (PTS)
K19509	gfrD	fructoselysine/glucoselysine PTS system EIID component		map02060 Phosphotransferase system (PTS)
K19510	gfrF	fructoselysine-6-phosphate deglycase		 
K19549	bacF	bacilysin biosynthesis transaminase BacF [EC:2.6.1.-]	Bacilysin biosynthesis, prephenate => bacilysin	map00998 Biosynthesis of various antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K19551	pelC	pectate lyase C [EC:4.2.2.2 4.2.2.10]		map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways
K19563	bioA, bioK	lysine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.105]	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	map00780 Biotin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K19575	bmrR	MerR family transcriptional regulator, activator of bmr gene		 
K19576	norA	MFS transporter, DHA1 family, quinolone resistance protein		 
K19577	ydhP	MFS transporter, DHA1 family, inner membrane transport protein		 
K19578	bmr	MFS transporter, DHA1 family, multidrug resistance protein		 
K19587	oqxR	Rrf2 family transcriptional regulator, repressor of oqxAB		 
K19591	cueR	MerR family transcriptional regulator, copper efflux regulator	Multidrug resistance, efflux pump MexPQ-OpmE	 
K19592	golS	MerR family transcriptional regulator, gold-responsive activator of gol and ges genes		 
K19611	fepA, pfeA, iroN, pirA	ferric enterobactin receptor		map02020 Two-component system
K19615	fitD, mcf	insecticidal toxin		map02020 Two-component system
K19620	phcB	extracellular factor (EF) 3-hydroxypalmitic acid methyl ester biosynthesis protein		map02020 Two-component system
K19621	phcS	two-component system, sensor histidine kinase PhcS [EC:2.7.13.3]		map02020 Two-component system
K19622	phcR	two-component system, response regulator PhcR		map02020 Two-component system
K19623	phcQ	two-component system, probable response regulator PhcQ		 
K19624	phcA	LysR family transcriptional regulator, virulence genes transcriptional regulator		map02020 Two-component system
K19664	carS	CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K19668	CBH2, cbhA	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways,map02020 Two-component system
K19676	IFT172	intraflagellar transport protein 172		 
K19689	ampS, pepS, ampT	aminopeptidase [EC:3.4.11.-]		 
K19696	mtiP	5'-methylthioinosine phosphorylase [EC:2.4.2.44]		map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K19697	pduW	propionate kinase [EC:2.7.2.15]		map00640 Propanoate metabolism,map01100 Metabolic pathways
K19701	ywaD	aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10]		 
K19707	rsbQ	sigma-B regulation protein RsbQ		 
K19710	E2.7.7.53	ATP adenylyltransferase [EC:2.7.7.53]		map00230 Purine metabolism,map01100 Metabolic pathways
K19713	tsdA	thiosulfate dehydrogenase [EC:1.8.2.2]		 
K19720	COL3A	collagen type III alpha		map04611 Platelet activation,map04926 Relaxin signaling pathway,map04933 AGE-RAGE signaling pathway in diabetic complications,map04974 Protein digestion and absorption,map05146 Amoebiasis,map05415 Diabetic cardiomyopathy
K19742	lhpI	1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.49]		map00330 Arginine and proline metabolism,map01100 Metabolic pathways
K19743	lhpI	1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H] [EC:1.5.1.1]		map00310 Lysine degradation,map00330 Arginine and proline metabolism,map00960 Tropane, piperidine and pyridine alkaloid biosynthesis,map01100 Metabolic pathways
K19745	acuI	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]		map00640 Propanoate metabolism,map01100 Metabolic pathways
K19776	dgoR	GntR family transcriptional regulator, galactonate operon transcriptional repressor		 
K19784	chrR, NQR	chromate reductase, NAD(P)H dehydrogenase (quinone)		 
K19789	radD	DNA repair protein RadD		 
K19795	E3.5.1.95	ureidomalonase [EC:3.5.1.95]		map00240 Pyrimidine metabolism,map01100 Metabolic pathways
K19802	ycjG, ykfB	L-Ala-D/L-Glu epimerase [EC:5.1.1.20]		 
K19804	lapB	lipopolysaccharide assembly protein B		 
K19810	epmB	L-lysine 2,3-aminomutase [EC:5.4.3.-]		 
K19872	FKTN	fukutin [EC:2.7.8.-]	O-glycan biosynthesis, mannose type (core M3)	map00515 Mannose type O-glycan biosynthesis,map01100 Metabolic pathways
K19883	aacA-aphD	bifunctional aminoglycoside 6'-N-acetyltransferase / aminoglycoside 2''-phosphotransferase [EC:2.3.1.82 2.7.1.190]		 
K19954	adh1	alcohol dehydrogenase [EC:1.1.1.-]		 
K19955	adh2	alcohol dehydrogenase [EC:1.1.1.-]		 
K19956	sorE	L-sorbose 1-phosphate reductase [EC:1.1.1.-]		map00051 Fructose and mannose metabolism,map01100 Metabolic pathways
K19961	chnD	6-hydroxyhexanoate dehydrogenase [EC:1.1.1.258]		map00930 Caprolactam degradation,map01220 Degradation of aromatic compounds
K19965	folQ	dihydroneopterin triphosphate pyrophosphohydrolase [EC:3.6.1.67]	Tetrahydrofolate biosynthesis, GTP => THF	map00790 Folate biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K19967	dta	D-threonine aldolase [EC:4.1.2.42]		map00470 D-Amino acid metabolism,map01100 Metabolic pathways
K19971	psaA, scaA, sloC	manganese/zinc transport system substrate-binding protein		map02010 ABC transporters
K19972	psaC, scaB, sloB	manganese/zinc transport system permease protein		map02010 ABC transporters
K19973	mntA	manganese transport system ATP-binding protein [EC:7.2.2.5]		map02010 ABC transporters
K19975	mntC	manganese transport system substrate-binding protein		map02010 ABC transporters
K19976	mntB	manganese transport system permease protein		map02010 ABC transporters
K19978	acbK	acarbose 7IV-phosphotransferase [EC:2.7.1.187]		map00525 Acarbose and validamycin biosynthesis,map01110 Biosynthesis of secondary metabolites
K19997	gnu	GlcNAc-P-P-Und epimerase [EC:5.1.3.26]		 
K20011	PRDX3	peroxiredoxin 3 [EC:1.11.1.24 1.11.1.25]		 
K20023	talrD-galrD	L-talarate/galactarate dehydratase [EC:4.2.1.156 4.2.1.42]		map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways
K20034	dmdB	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]		map00920 Sulfur metabolism,map01100 Metabolic pathways
K20035	dmdC	3-(methylsulfanyl)propanoyl-CoA dehydrogenase [EC:1.3.99.41]		map00920 Sulfur metabolism,map01100 Metabolic pathways
K20037	cutD	choline trimethylamine-lyase activating enzyme [EC:1.97.1.-]		 
K20038	cutC	choline trimethylamine-lyase [EC:4.3.99.4]		 
K20073	mapZ, locZ	mid-cell-anchored protein Z		 
K20074	prpC, phpP	PPM family protein phosphatase [EC:3.1.3.16]		 
K20108	malT	maltose PTS system EIICB or EIICBA component [EC:2.7.1.208]		map00500 Starch and sucrose metabolism,map02060 Phosphotransferase system (PTS)
K20109	zmp1	Pro-Pro endopeptidase [EC:3.4.24.89]		 
K20112	gatA	galactose PTS system EIIA component [EC:2.7.1.204]		map02060 Phosphotransferase system (PTS)
K20113	gatB	galactose PTS system EIIB component [EC:2.7.1.204]		map02060 Phosphotransferase system (PTS)
K20114	gatC	galactose PTS system EIIC component		map02060 Phosphotransferase system (PTS)
K20118	ptsG, glcA, glcB	glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]		map00010 Glycolysis / Gluconeogenesis,map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map02060 Phosphotransferase system (PTS)
K20140	cfiA	2-oxoglutarate carboxylase large subunit [EC:6.4.1.7]		 
K20172	spmC	3-succinoylpyridine monooxygenase subunit C	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K20201	ywlE	protein arginine phosphatase [EC:3.9.1.2]		 
K20207	gpx	hydroperoxy fatty acid reductase [EC:1.11.1.22]		 
K20238	E2.1.1.317	sphingolipid C9-methyltransferase [EC:2.1.1.317]		 
K20256	luxG	flavin reductase [EC:1.-.-.-]		map02024 Quorum sensing
K20261	phzD	trans-2,3-dihydro-3-hydroxyanthranilic acid synthase [EC:3.3.2.15]	Pyocyanine biosynthesis, chorismate => pyocyanine	map00405 Phenazine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map02024 Quorum sensing
K20263	fusK	two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]		map02020 Two-component system,map02024 Quorum sensing
K20265	gadC	glutamate:GABA antiporter		map02024 Quorum sensing
K20266	trbJ	type IV secretion system protein TrbJ		map02024 Quorum sensing
K20276	bapA	large repetitive protein		map02024 Quorum sensing
K20319	blaADC	beta-lactamase class C ADC [EC:3.5.2.6]		map01501 beta-Lactam resistance
K20337	psmB	phenol-soluble modulin beta		map02024 Quorum sensing
K20338	rot	MarR family transcriptional regulator, global regulator for virulence		map02024 Quorum sensing
K20341	blpL, cipI	immunity protein		map02024 Quorum sensing
K20342	comR	HTH-type transcriptional regulator, regulator for ComX		map02024 Quorum sensing
K20343	blpC	peptide pheromone BlpC		map02024 Quorum sensing
K20344	blpA, lagD	ATP-binding cassette, subfamily C, bacteriocin exporter		map02010 ABC transporters,map02024 Quorum sensing
K20345	blpB	membrane fusion protein, peptide pheromone/bacteriocin exporter		map02024 Quorum sensing
K20370	PEPCK	phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]		map00620 Pyruvate metabolism,map01100 Metabolic pathways
K20373	rgg2	HTH-type transcriptional regulator, SHP2-responsive activator		map02024 Quorum sensing
K20374	rgg3	HTH-type transcriptional regulator, SHP3-responsive repressor		map02024 Quorum sensing
K20375	ropB, rgg1	HTH-type transcriptional regulator, pheromone-responsive regulator		map02024 Quorum sensing
K20379	cad	sex pheromone cAD1		map02024 Quorum sensing
K20382	asa1	aggregation substance		map02024 Quorum sensing
K20386	cylB	ATP-binding cassette, subfamily B, bacterial CylB		map02010 ABC transporters,map02024 Quorum sensing
K20391	plcR	HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes		map02024 Quorum sensing
K20421	ncsB1	2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase [EC:2.1.1.303]	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	map01059 Biosynthesis of enediyne antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20427	acbR, vldB	valienol-1-phosphate guanylyltransferase [EC:2.7.7.91]	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	map00525 Acarbose and validamycin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20429	vioA	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]		map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K20430	acbS	glycosyltransferase AcbS [EC:2.4.-.-]	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	map00525 Acarbose and validamycin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20431	cetB, valD	2-epi-5-epi-valiolone epimerase [EC:5.1.3.33]	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	map00525 Acarbose and validamycin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20444	rfbC	O-antigen biosynthesis protein [EC:2.4.1.-]		 
K20449	hnr	6-hydroxynicotinate reductase [EC:1.3.7.1]		map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments
K20451	mii	methylitaconate Delta-isomerase [EC:5.3.3.6]		map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments
K20452	dmdA	dimethylmaleate hydratase large subunit [EC:4.2.1.85]		map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments
K20453	dmdB	dimethylmaleate hydratase small subunit [EC:4.2.1.85]		map00760 Nicotinate and nicotinamide metabolism,map01120 Microbial metabolism in diverse environments
K20455	acnD	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) [EC:4.2.1.117]		map00640 Propanoate metabolism,map01100 Metabolic pathways
K20459	nukF, mcdF, sboF	lantibiotic transport system ATP-binding protein		map02010 ABC transporters
K20460	nukE, mcdE, sboE	lantibiotic transport system permease protein		map02010 ABC transporters
K20461	nukG, mcdG, sboG	lantibiotic transport system permease protein		map02010 ABC transporters
K20469	K20469	putative heme transporter		 
K20470	mmpL3	trehalose monomycolate/heme transporter		 
K20480	nprR, nprA	HTH-type transcriptional regulator, quorum sensing regulator NprR		map02024 Quorum sensing
K20483	nisB, spaB, epiB	lantibiotic biosynthesis protein		map02020 Two-component system,map02024 Quorum sensing
K20484	nisC, spaC, epiC	lantibiotic biosynthesis protein		map02020 Two-component system,map02024 Quorum sensing
K20485	nisT, spaT	ATP-binding cassette, subfamily B, bacterial NisT/SpaT		map02020 Two-component system,map02024 Quorum sensing
K20486	nisP, epiP	lantibiotic leader peptide-processing serine protease [EC:3.4.21.-]		map02020 Two-component system,map02024 Quorum sensing
K20487	nisK, spaK	two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]		map02020 Two-component system,map02024 Quorum sensing
K20490	nisF, spaF, cprA, epiF	lantibiotic transport system ATP-binding protein		map02010 ABC transporters,map02020 Two-component system,map02024 Quorum sensing
K20491	nisE, spaE, cprB, epiE	lantibiotic transport system permease protein		map02010 ABC transporters,map02020 Two-component system,map02024 Quorum sensing
K20492	nisG, spaG, cprC	lantibiotic transport system permease protein		map02010 ABC transporters,map02020 Two-component system,map02024 Quorum sensing
K20525	alg17C	oligo-alginate lyase [EC:4.2.2.26]		 
K20527	trbB	type IV secretion system protein TrbB [EC:7.4.2.8]		map02024 Quorum sensing
K20528	trbC	type IV secretion system protein TrbC		map02024 Quorum sensing
K20529	trbD	type IV secretion system protein TrbD		map02024 Quorum sensing
K20530	trbE	type IV secretion system protein TrbE [EC:7.4.2.8]		map02024 Quorum sensing
K20531	trbF	type IV secretion system protein TrbF		map02024 Quorum sensing
K20532	trbG	type IV secretion system protein TrbG		map02024 Quorum sensing
K20533	trbI	type IV secretion system protein TrbI		map02024 Quorum sensing
K20534	gtrB	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]		 
K20539	blcR	IclR family transcriptional regulator, blcABC operon repressor		map02024 Quorum sensing
K20541	bcsB	cellulose synthase operon protein B		 
K20542	bcsZ	endoglucanase [EC:3.2.1.4]		 
K20543	bcsC	cellulose synthase operon protein C		 
K20552	ler	transcriptional regulator of LEE operons		map02020 Two-component system,map02024 Quorum sensing
K20611	crtD	1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]		map00906 Carotenoid biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20707	E5.1.1.5	lysine racemase [EC:5.1.1.5]		 
K20708	E5.1.1.21	isoleucine 2-epimerase [EC:5.1.1.21]		 
K20712	glnA	3-(hydroxyamino)phenol mutase [EC:5.4.4.3]		map00627 Aminobenzoate degradation,map01120 Microbial metabolism in diverse environments
K20742	ykfC	gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]		 
K20757	dthadh	threo-3-hydroxy-D-aspartate ammonia-lyase [EC:4.3.1.27]		 
K20791	NAA10_11, ARD1_2	N-alpha-acetyltransferase 10/11 [EC:2.3.1.255]		 
K20810	mqnX	aminodeoxyfutalosine deaminase [EC:3.5.4.40]	Menaquinone biosynthesis, futalosine pathway	map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K20811	inuJ	inulosucrase [EC:2.4.1.9]		map00500 Starch and sucrose metabolism,map01100 Metabolic pathways
K20814	dop	Pup amidohydrolase [EC:3.5.1.119]		 
K20830	por	beta-porphyranase [EC:3.2.1.178]		 
K20832	EN3GAL	galactan endo-beta-1,3-galactanase [EC:3.2.1.181]		 
K20844	abf1	non-reducing end alpha-L-arabinofuranosidase [EC:3.2.1.55]		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways
K20846	cgkA	kappa-carrageenase [EC:3.2.1.83]		 
K20861	ybjI	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K20862	yigB	FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K20866	yihX	glucose-1-phosphatase [EC:3.1.3.10]		map00010 Glycolysis / Gluconeogenesis,map01120 Microbial metabolism in diverse environments
K20895	ylmB	formylaminopyrimidine deformylase [EC:3.5.1.-]		map00730 Thiamine metabolism,map01100 Metabolic pathways
K20901	lerK	L-erythrulose 1-kinase [EC:2.7.1.209]		 
K20903	hgdA	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha [EC:4.2.1.167]		 
K20904	hgdB	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta [EC:4.2.1.167]		 
K20938	ladA	long-chain alkane monooxygenase [EC:1.14.14.28]		 
K20940	phzS	5-methylphenazine-1-carboxylate 1-monooxygenase [EC:1.14.13.218]	Pyocyanine biosynthesis, chorismate => pyocyanine	map00405 Phenazine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K20945	vpsU	tyrosine-protein phosphatase [EC:3.1.3.48]		map05111 Biofilm formation - Vibrio cholerae
K20955	cdgK	diguanylate cyclase [EC:2.7.7.65]		map05111 Biofilm formation - Vibrio cholerae
K20962	cdgC	c-di-GMP phosphodiesterase [EC:3.1.4.52]		map05111 Biofilm formation - Vibrio cholerae
K20963	acgA	c-di-GMP phosphodiesterase [EC:3.1.4.52]		map05111 Biofilm formation - Vibrio cholerae
K20967	MOCS1	GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase [EC:4.1.99.22 4.6.1.17]	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	map00790 Folate biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K20973	sagS	two-component system, sensor histidine kinase SagS [EC:2.7.13.3]		map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa
K20975	K20975	two-component system, sensor histidine kinase [EC:2.7.13.3]		map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa
K20977	hsbR	two-component system, HptB-dependent secretion and biofilm response regulator		map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa
K20987	pslD	polysaccharide biosynthesis/export protein PslD		map02025 Biofilm formation - Pseudomonas aeruginosa
K20993	estP	pyrethroid hydrolase [EC:3.1.1.88]		 
K21005	pslL	polysaccharide biosynthesis protein PslL		map02025 Biofilm formation - Pseudomonas aeruginosa
K21006	pelA	polysaccharide biosynthesis protein PelA		map02025 Biofilm formation - Pseudomonas aeruginosa
K21007	pelB	polysaccharide biosynthesis protein PelB		map02025 Biofilm formation - Pseudomonas aeruginosa
K21009	pelD	polysaccharide biosynthesis protein PelD		map02025 Biofilm formation - Pseudomonas aeruginosa
K21010	pelE	polysaccharide biosynthesis protein PelE		map02025 Biofilm formation - Pseudomonas aeruginosa
K21011	pelF	polysaccharide biosynthesis protein PelF		map02025 Biofilm formation - Pseudomonas aeruginosa
K21012	pelG	polysaccharide biosynthesis protein PelG		map02025 Biofilm formation - Pseudomonas aeruginosa
K21023	mucR	diguanylate cyclase [EC:2.7.7.65]		map02025 Biofilm formation - Pseudomonas aeruginosa
K21028	ynjE	molybdopterin synthase sulfurtransferase [EC:2.8.1.11]		map04122 Sulfur relay system
K21029	moeB	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]		map04122 Sulfur relay system
K21030	tarI	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]		map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways
K21033	virH1, CYP103	cytochrome P450 family 103		 
K21053	ade	adenine deaminase [EC:3.5.4.2]		map00230 Purine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K21055	E3.1.3.103	3-deoxy-D-glycero-D-galacto-nononate 9-phosphatase [EC:3.1.3.103]		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K21063	K21063	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K21064	ycsE, yitU, ywtE	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	map00740 Riboflavin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K21071	pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00030 Pentose phosphate pathway,map00051 Fructose and mannose metabolism,map00052 Galactose metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K21084	yegE	diguanylate cyclase [EC:2.7.7.65]		map02026 Biofilm formation - Escherichia coli
K21087	ycgR	flagellar brake protein		map02026 Biofilm formation - Escherichia coli
K21105	E3.1.1.102	mono(ethylene terephthalate) hydrolase [EC:3.1.1.102]		map00624 Polycyclic aromatic hydrocarbon degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K21134	triC	multidrug efflux pump		 
K21140	mec	[CysO sulfur-carrier protein]-S-L-cysteine hydrolase [EC:3.13.1.6]		map04122 Sulfur relay system
K21142	moaX	MoaE-MoaD fusion protein [EC:2.8.1.12]	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	map00790 Folate biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map04122 Sulfur relay system
K21147	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]		map04122 Sulfur relay system
K21153	salL	adenosyl-chloride synthase [EC:2.5.1.94]		 
K21159	sgcF, ncsF2, kedF	epoxide hydrolase		map01059 Biosynthesis of enediyne antibiotics
